[ 2017-10-26T09:49:19+08:00 ] /article/index/id/162 | INFO: Tag[ route_check ] --START--
[ 2017-10-26T09:49:19+08:00 ] /article/index/id/162 | INFO: Run CheckRoute Behavior [ RunTime:0.000369s ]
[ 2017-10-26T09:49:19+08:00 ] /article/index/id/162 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000409s ]
[ 2017-10-26T09:49:19+08:00 ] /article/index/id/162 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-10-26T09:49:19+08:00 ] /article/index/id/162 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-10-26T09:49:19+08:00 ] /article/index/id/162 | INFO: Tag[ app_begin ] --START--
[ 2017-10-26T09:49:19+08:00 ] /article/index/id/162 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000259s ]
[ 2017-10-26T09:49:19+08:00 ] /article/index/id/162 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000282s ]
[ 2017-10-26T09:49:19+08:00 ] /article/index/id/162 | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-10-26T09:49:20+08:00 ] /article/index/id/162 | SQL: SHOW COLUMNS FROM think_article as a [ RunTime:0.029501s ]
[ 2017-10-26T09:49:20+08:00 ] /article/index/id/162 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.029910s ]
[ 2017-10-26T09:49:20+08:00 ] /article/index/id/162 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T09:49:20+08:00 ] /article/index/id/162 | SQL: SELECT * FROM `think_article` WHERE ( `id` = '162' ) LIMIT 1   [ RunTime:0.029704s ]
[ 2017-10-26T09:49:20+08:00 ] /article/index/id/162 | SQL: SHOW COLUMNS FROM `think_article_type` [ RunTime:0.029855s ]
[ 2017-10-26T09:49:20+08:00 ] /article/index/id/162 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T09:49:20+08:00 ] /article/index/id/162 | SQL: SELECT * FROM `think_article_type` WHERE ( `id` = '4' ) LIMIT 1   [ RunTime:0.029477s ]
[ 2017-10-26T09:49:20+08:00 ] /article/index/id/162 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T09:49:20+08:00 ] /article/index/id/162 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id!=34 and b.id!=19 ORDER BY a.time desc LIMIT 12   [ RunTime:0.029483s ]
[ 2017-10-26T09:49:20+08:00 ] /article/index/id/162 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T09:49:20+08:00 ] /article/index/id/162 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id=19 ORDER BY a.time desc LIMIT 12   [ RunTime:0.029460s ]
[ 2017-10-26T09:49:20+08:00 ] /article/index/id/162 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T09:49:20+08:00 ] /article/index/id/162 | SQL: SELECT a.title,a.id FROM think_article as a LEFT JOIN think_article_type as b ON a.type = b.id WHERE b.id=34 ORDER BY a.time desc LIMIT 12   [ RunTime:0.029451s ]
[ 2017-10-26T09:49:20+08:00 ] /article/index/id/162 | SQL: select * from think_article_type where status=1 order by rand() limit 9 [ RunTime:0.029823s ]
[ 2017-10-26T09:49:20+08:00 ] /article/index/id/162 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-10-26T09:49:20+08:00 ] /article/index/id/162 | SQL: SELECT `images`,`id`,`title` FROM `think_article` WHERE type=16 LIMIT 8   [ RunTime:0.029481s ]
[ 2017-10-26T09:49:20+08:00 ] /article/index/id/162 | INFO: Tag[ view_template ] --START--
[ 2017-10-26T09:49:20+08:00 ] /article/index/id/162 | INFO: Run LocationTemplate Behavior [ RunTime:0.000357s ]
[ 2017-10-26T09:49:20+08:00 ] /article/index/id/162 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000386s ]
[ 2017-10-26T09:49:20+08:00 ] /article/index/id/162 | INFO: Tag[ view_parse ] --START--
[ 2017-10-26T09:49:20+08:00 ] /article/index/id/162 | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
